Unnamed: 0,food,Caloric Value,Fat,Carbohydrates,Sugars,Protein
0,cream cheese,51,5,0.8,0.5,0.9
1,neufchatel cheese,215,19.4,3.1,2.7,7.8
2,requeijao cremoso light catupiry,49,3.6,0.9,3.4,0.8
3,ricotta cheese,30,2,1.5,0.091,1.5
4,cream cheese low fat,30,2.3,1.2,0.9,1.2
5,cream cheese fat free,19,0.2,1.4,1,2.8
6,gruyere cheese,116,9.1,0.1,0.1,8.3
7,cheddar cheese,113,9.3,0.9,0.1,6.4
8,parmesan cheese,71,4.5,0.6,0.046,6.4
9,romano cheese,19,1.3,0.2,0.088,1.6
10,parmesan cheese grated,21,1.4,0.7,0.075,1.4
11,port salut cheese,465,37.2,0.8,0.8,31.4
12,swiss cheese,98,7.7,0.4,0,6.7
13,goat cheese hard,128,10.1,0.6,0.6,8.6
14,gouda cheese,100,7.7,0.6,0.6,7
15,pepper jack cheese lucerne,75,6,0,0,5
16,caraway cheese,106,8.3,0.9,0,7.1
17,gjetost cheese,1058,67,96.8,0,21.9
18,tilsit cheese,136,10.4,0.8,0,9.8
19,goat cheese,103,8.4,0.009,0.031,6.1
20,brick cheese,111,8.9,0.8,0.2,7
21,asadero cheese,402,31.9,3.2,3.2,25.5
22,camembert cheese,90,7.3,0.1,0.1,5.9
23,provolone cheese reduced fat,310,19.9,4,0.6,27.9
24,roquefort cheese,314,26,1.7,0,18.3
25,queso blanco cheese,366,28.7,3,2.1,24
26,queso seco cheese,315,23.6,2,0.5,23.8
27,goat cheese soft,75,6,0,0.3,5.2
28,mozzarella cheese,90,6.6,0.7,0,6.7
29,chihuahua cheese,494,39.2,7.3,7.3,28.5
30,limburger cheese,98,8.2,0.1,0.1,6
31,muenster cheese,486,39.7,1.5,1.5,30.9
32,queso fresco cheese,365,29.1,3.6,2.8,22.1
33,brie cheese,100,8.3,0.1,0.1,6.2
34,pimento cheese,525,43.7,2.4,0.9,31
35,mexican cheese,316,21.7,3.8,0.6,27.7
36,feta cheese,80,6.4,1.2,0,4.3
37,mozzarella cheese fat free,159,0,4,1.7,35.8
38,provolone cheese,463,35.1,2.8,0.7,33.8
39,anejo cheese,492,39.6,6.1,6.1,28.3
40,honey,64,0,17.3,17.2,0.08
41,apple butter,35,0.063,8.5,7.1,0.045
42,fruit jam,56,0.095,13.8,9.7,0
43,chocolate hazelnut spread,100,5.5,11.5,10,1
44,peanut butter,88,7.4,3.6,1,3.3
45,peanut spread,101,8.5,2.2,0.5,3.8
46,chicken spread,88,9.8,2.3,0.3,10.1
47,cheese spread,708,68.6,8.4,8.4,17
48,tahini,86,7.2,3.9,0,2.7
49,orange marmalade,49,0,13.3,12,0.014
50,american cheese spread,46,3.4,1.4,1.2,2.6
51,apricot jam,48,0.01,12.9,8.7,0.1
52,chunky peanut butter,94,8,3.5,1.3,3.8
53,ham and cheese spread,37,2.8,0.3,0,2.4
54,chicken and rice casserole homade,27,1,2.4,0,2
55,picnic loaf,65,4.7,1.3,0,4.2
56,corn tamale,309,12,44.3,12.3,5.8
57,baked potato with cheese sauce bacon,451,25.9,44.4,0,18.4
58,chinese egg roll,223,10.6,24.3,0,7.4
59,butter croissant,231,12,26.1,6.4,4.7
60,enchilada with cheese beef,323,17.6,30.5,0,11.9
61,corned beef hash with potatoes,387,24.2,21.9,0.8,20.6
62,biscuit with egg cheese bacon,436,25.3,35.4,2.5,17.4
63,bagel with ham egg cheese,483,18.5,52.4,7,26.7
64,quesadilla with chicken,529,27.5,43.3,3.4,27.1
65,corn rice,110,0.3,25.2,3,1.8
66,kung pao chicken,779,42.2,41.5,18.3,59
67,beef empanada,298,16.3,27.8,1.6,10.1
68,frijoles with cheese,225,7.8,28.7,0,11.4
69,burrito with beef,285,8.1,43.9,4.1,9.1
